ID,storeCode,name,address,city,postalCode,country,phone,email,manager,storeType,isActive,description,dc_ID,createdAt,createdBy,modifiedAt,modifiedBy
d1000001-0001-4000-8000-000000000001,STR-001,강남 본점,서울 중구 150번길 17,서울,19675,대한민국,041-929-5351,store1@inventory.co.kr,이영희,Store,true,강남 본점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0002-4000-8000-000000000002,STR-002,서초 지점,서울 강남구 58번길 45,서울,31165,대한민국,064-993-7484,store2@inventory.co.kr,박지민,Store,true,서초 지점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0003-4000-8000-000000000003,STR-003,잠실 지점,서울 서초구 236번길 20,서울,93528,대한민국,067-827-6443,store3@inventory.co.kr,최수진,Store,true,잠실 지점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0004-4000-8000-000000000004,STR-004,여의도 지점,서울 송파구 138번길 6,서울,74590,대한민국,023-348-7020,store4@inventory.co.kr,정민호,Store,true,여의도 지점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0005-4000-8000-000000000005,STR-005,홍대 지점,서울 영등포구 252번길 10,서울,70758,대한민국,063-859-9083,store5@inventory.co.kr,한서윤,Store,true,홍대 지점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0006-4000-8000-000000000006,STR-006,신촌 지점,서울 마포구 5번길 46,서울,39515,대한민국,026-789-8249,store6@inventory.co.kr,오준석,Store,true,신촌 지점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0007-4000-8000-000000000007,STR-007,이태원 지점,서울 용산구 2번길 22,서울,90398,대한민국,029-433-4854,store7@inventory.co.kr,강다현,Store,true,이태원 지점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0008-4000-8000-000000000008,STR-008,명동 지점,서울 중구 51번길 9,서울,61129,대한민국,033-588-4979,store8@inventory.co.kr,윤재현,Store,true,명동 지점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0009-4000-8000-000000000009,STR-009,종로 지점,서울 종로구 210번길 32,서울,19615,대한민국,037-113-2395,store9@inventory.co.kr,임소영,Store,true,종로 지점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0010-4000-8000-000000000010,STR-010,동대문 지점,서울 동대문구 252번길 33,서울,47521,대한민국,061-862-5463,store10@inventory.co.kr,조현우,Store,true,동대문 지점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0011-4000-8000-000000000011,STR-011,부산 해운대점,부산 해운대구 246번길 31,부산,94264,대한민국,021-222-3648,store11@inventory.co.kr,송지은,Store,true,부산 해운대점,e1000001-0003-4000-8000-000000000003,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0012-4000-8000-000000000012,STR-012,부산 서면점,부산 부산진구 36번길 5,부산,44768,대한민국,036-308-9721,store12@inventory.co.kr,배성민,Store,true,부산 서면점,e1000001-0003-4000-8000-000000000003,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0013-4000-8000-000000000013,STR-013,대구 동성로점,대구 중구 214번길 38,대구,54585,대한민국,032-144-1512,store13@inventory.co.kr,유하린,Store,true,대구 동성로점,e1000001-0005-4000-8000-000000000005,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0014-4000-8000-000000000014,STR-014,인천 송도점,인천 연수구 171번길 38,인천,53707,대한민국,067-647-2003,store14@inventory.co.kr,황도윤,Store,true,인천 송도점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0015-4000-8000-000000000015,STR-015,광주 충장로점,광주 동구 4번길 29,광주,67183,대한민국,064-593-5422,store15@inventory.co.kr,전예진,Store,true,광주 충장로점,e1000001-0003-4000-8000-000000000003,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0016-4000-8000-000000000016,STR-016,대전 둔산점,대전 유성구 93번길 35,대전,94967,대한민국,032-314-5144,store16@inventory.co.kr,고태영,Store,true,대전 둔산점,e1000001-0002-4000-8000-000000000002,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0017-4000-8000-000000000017,STR-017,울산 삼산점,울산 남구 25번길 20,울산,46848,대한민국,036-325-6748,store17@inventory.co.kr,문서현,Store,true,울산 삼산점,e1000001-0003-4000-8000-000000000003,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0018-4000-8000-000000000018,STR-018,수원 인계점,수원 팔달구 74번길 29,수원,13307,대한민국,065-793-4901,store18@inventory.co.kr,양지우,Store,true,수원 인계점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0019-4000-8000-000000000019,STR-019,성남 분당점,성남 분당구 97번길 43,성남,28377,대한민국,063-755-5305,store19@inventory.co.kr,권나영,Store,true,성남 분당점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0020-4000-8000-000000000020,STR-020,고양 일산점,고양 일산동구 247번길 13,고양,27568,대한민국,046-460-1909,store20@inventory.co.kr,김철수,Store,true,고양 일산점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0021-4000-8000-000000000021,STR-021,용인 수지점,용인 수지구 277번길 48,용인,78381,대한민국,025-403-4809,store21@inventory.co.kr,이영희,Store,true,용인 수지점,e1000001-0001-4000-8000-000000000001,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0022-4000-8000-000000000022,STR-022,창원 상남점,창원 성산구 300번길 11,창원,40158,대한민국,026-875-4201,store22@inventory.co.kr,박지민,Store,true,창원 상남점,e1000001-0003-4000-8000-000000000003,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
d1000001-0023-4000-8000-000000000023,STR-023,청주 성안점,청주 상당구 135번길 5,청주,57870,대한민국,044-762-7997,store23@inventory.co.kr,최수진,Store,true,청주 성안점,e1000001-0002-4000-8000-000000000002,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
